model,fold,station,n_test_rows,nRMSE,MAE,MBE
model_b_hybrid,5,SQ_Apartment1_12,17444,0.1093633842393477,0.07768117344010347,0.019653318978268854
model_b_hybrid,3,SQ_Apartment25_36,17442,0.10055122410104217,0.07057566989856436,0.027607136008127576
model_b_hybrid,2,SQ_Apartment37_48,17341,0.10493385919260902,0.0737185175438028,0.034724879649626075
model_b_hybrid,1,SQ_Block_P,7922,0.11203379186306313,0.07899284256393835,0.011200330934333685
model_b_hybrid,5,SQ_Block_R,17464,0.10789831817139464,0.0760778605885557,0.025798380700037066
model_b_hybrid,2,SQ_Block_S,17466,0.10727035384468338,0.07508787930234025,0.03403447033482675
model_b_hybrid,2,S_H_Ho_Sports_Hall,15743,0.15409882083773344,0.1083741665824871,0.08689093472902669
model_b_hybrid,1,Shaw_Auditorium,6711,0.09637819322811912,0.0678384852151722,0.0059987179219804345
model_b_hybrid,5,UG_Hall2_2F,17467,0.17177840427563604,0.13424805822135047,0.12589273700325884
model_b_hybrid,2,UG_Hall2_RF,17358,0.1199603090885368,0.08822055556228418,0.06971990376856677
model_b_hybrid,5,UG_Hall3,17467,0.10778830251854181,0.07814845753965663,0.025237530486178807
model_b_hybrid,3,UG_Hall4,17468,0.09385788863090098,0.06554347048820373,0.022128336958585543
model_b_hybrid,5,UG_Hall6,17460,0.10193665654688115,0.0716221531131684,0.024138262245873437
model_b_hybrid,4,UG_Hall7,17465,0.10921778772418551,0.08091910105487568,0.06484448318836657
model_b_hybrid,2,UG_Hall8,14689,0.10509324711514385,0.07529557153923679,0.010592539899631397
model_b_hybrid,1,UG_Hall9,15560,0.11526255236962932,0.08004769290879825,-0.0026154131992953264
model_b_hybrid,1,Wong_Check_She_Research_Centre,17456,0.10292125255421197,0.07221581894766824,0.02339185063399825
model_b_hybrid,3,Zone_A1,17435,0.10709571587538871,0.07394736946405399,0.05326635609599085
model_b_hybrid,5,Zone_A2,17014,0.1566562987563034,0.10984448409914349,0.07892754180809003
model_b_hybrid,1,Zone_A4,17459,0.11315887549068795,0.08250507540286871,0.05626624574216033
model_b_hybrid,4,Zone_A5,17468,0.10473210510613139,0.07453604420217275,0.034109628210699024
model_b_hybrid,3,Zone_A6,17459,0.10086680179248905,0.07055976976066448,0.019038402108726264
model_b_hybrid,2,Zone_A7,16124,0.09872516698844674,0.07006134994458066,0.0335594631609318
model_b_hybrid,4,Zone_D,17439,0.10072073693423722,0.07046751147423592,0.02922897604515342
model_b_hybrid,4,Zone_J1,16233,0.10628367851554538,0.07612948249463043,0.00038264335146453326
model_b_hybrid,1,Zone_J2,17449,0.150439794596376,0.10841250494056498,0.0996042330240967
model_b_hybrid,4,Zone_L2,17300,0.10399526053784483,0.07622093124262905,0.04845746617227357
model_d_weather_time_physics,3,Indoor_Sport_Center,17465,0.12174866794492989,0.08328954003705998,0.02074431496933052
model_d_weather_time_physics,3,LSK_North,17465,0.10607315547009165,0.07439200677717922,0.004013444295046876
model_d_weather_time_physics,4,LSK_South,15101,0.11545541252056284,0.08225464908190953,-0.00558217154645364
model_d_weather_time_physics,4,Library,16495,0.11543256281137128,0.08116965168280309,0.038280796645928934
model_d_weather_time_physics,1,SQ1,17231,0.10446113892314968,0.07246407147637139,0.022382400221343027
model_d_weather_time_physics,3,SQ2,17467,0.10539099243697367,0.0740726235294505,0.017898131422137985
model_d_weather_time_physics,1,SQ3,17467,0.10807196346706482,0.07594802978624729,0.012315316041376796
model_d_weather_time_physics,5,SQ4,17467,0.11507377390746351,0.08029573654831552,0.006872809388784106
model_d_weather_time_physics,2,SQ567,17467,0.10721128478026824,0.07607311442506458,0.006829319850603982
model_d_weather_time_physics,2,SQ_Apartment13_24,17443,0.11113295616202985,0.08012710713924226,0.011342639608405609
model_d_weather_time_physics,5,SQ_Apartment1_12,17444,0.11529051110727276,0.08267700215014764,0.01439250677588694
model_d_weather_time_physics,3,SQ_Apartment25_36,17442,0.10655207364455908,0.07666619577690363,0.021119602118827515
model_d_weather_time_physics,2,SQ_Apartment37_48,17341,0.10819923263481902,0.07691759490752557,0.03021073532602333
model_d_weather_time_physics,1,SQ_Block_P,7922,0.11396162301532187,0.08137523646316933,0.008886010598828029
model_d_weather_time_physics,5,SQ_Block_R,17464,0.11341197730380549,0.08090109510835433,0.020540274460184468
model_d_weather_time_physics,2,SQ_Block_S,17466,0.11036339672398117,0.07823240314992447,0.029551120976958202
model_d_weather_time_physics,2,S_H_Ho_Sports_Hall,15743,0.14924160937800174,0.10741514830545117,0.08266866715613959
model_d_weather_time_physics,1,Shaw_Auditorium,6711,0.09859826225325573,0.07018419194989492,0.004319855057508262
model_d_weather_time_physics,5,UG_Hall2_2F,17467,0.16666874912238866,0.1317760064486237,0.1206386224013641
model_d_weather_time_physics,2,UG_Hall2_RF,17358,0.11925783259690884,0.08814267273757043,0.06520951907480722
model_d_weather_time_physics,5,UG_Hall3,17467,0.11522894577709555,0.08403220020862016,0.01998341588428409
model_d_weather_time_physics,3,UG_Hall4,17468,0.10126027588485452,0.07155335305413309,0.015646711255433318
model_d_weather_time_physics,5,UG_Hall6,17460,0.10814650813935921,0.0767744380584182,0.018875663583032616
model_d_weather_time_physics,4,UG_Hall7,17465,0.10991840461270748,0.08187249706574429,0.062024963435223165
model_d_weather_time_physics,2,UG_Hall8,14689,0.1121447247335538,0.08089353753003312,0.006249285073789325
model_d_weather_time_physics,1,UG_Hall9,15560,0.12020823754643725,0.08533274041355458,-0.006656460782536971
model_d_weather_time_physics,1,Wong_Check_She_Research_Centre,17456,0.10550032784722858,0.07577730524186566,0.019636774609871507
model_d_weather_time_physics,3,Zone_A1,17435,0.10538037245433249,0.07414505936011506,0.04679066415983603
model_d_weather_time_physics,5,Zone_A2,17014,0.15419043848828656,0.11123710833598732,0.07363706910134073
model_d_weather_time_physics,1,Zone_A4,17459,0.11253902030784983,0.08234759641434516,0.05250469071318966
model_d_weather_time_physics,4,Zone_A5,17468,0.10955518211383346,0.0790758587854163,0.031287329180440276
model_d_weather_time_physics,3,Zone_A6,17459,0.10760847336293342,0.07695097808014331,0.012551588941223484
model_d_weather_time_physics,2,Zone_A7,16124,0.10304638800192774,0.07448061266220406,0.029108789118966985
model_d_weather_time_physics,4,Zone_D,17439,0.10508299924586938,0.07398043456873007,0.026359866803240716
model_d_weather_time_physics,4,Zone_J1,16233,0.11303482377580461,0.08164553034739139,-0.002508240335297042
model_d_weather_time_physics,1,Zone_J2,17449,0.14867365916008612,0.10800043384529506,0.09585791899338254
model_d_weather_time_physics,4,Zone_L2,17300,0.10630347113301762,0.0788633747199634,0.04557283888662416
