model,fold,station,n_test_rows,nRMSE,MAE,MBE
ghi_physics,1,Wong_Check_She_Research_Centre,36363,0.12951971851586774,0.08383716554454264,-0.036807682916780944
ghi_physics,3,Zone_A1,43774,0.13008738740444228,0.08004658494593431,-0.020824496936604184
ghi_physics,5,Zone_A2,43231,0.134830840735866,0.08887080920395718,0.07945246819532555
ghi_physics,1,Zone_A4,43626,0.11397856718102607,0.07249117215644217,-0.0036426865765827707
ghi_physics,4,Zone_A5,37672,0.11036033961677362,0.06833861946062438,-0.012359577050769625
ghi_physics,3,Zone_A6,37690,0.13010347770531652,0.08423502536384354,-0.04351719329204149
ghi_physics,2,Zone_A7,36217,0.12570469458256348,0.08152511351977812,-0.03225251873195971
ghi_physics,4,Zone_D,33843,0.08648081747881145,0.05122822714339129,0.008294083321956443
ghi_physics,4,Zone_J1,31183,0.13134270599038428,0.08320142138340385,-0.04690266961619942
ghi_physics,1,Zone_J2,34993,0.1447295101684466,0.08756614830258312,0.029259476045369374
ghi_physics,4,Zone_L2,25523,0.11557890596304142,0.07266550074347233,0.023399505933198134
